target,model_type,model_name,features,expected_value,high_prediction_sample_index,low_prediction_sample_index
DFlow,optimized,优化模型,"ASM_A_MeanT, ALM_A_MeanT, ALD_A_SDevT, CLD_C_SDevT, ILD_I_SDevT",0.11832523345947266,34,11
DGap,baseline,基线模型,"ASM_A_MeanT, ASD_A_SDevT, BSM_B_MeanT, BSD_B_SDevT, CSM_C_MeanT, CSD_C_SDevT, ISM_I_MeanT, ISD_I_SDevT, ALM_A_MeanT, ALD_A_SDevT, BLM_B_MeanT, BLD_B_SDevT, CLM_C_MeanT, CLD_C_SDevT, ILM_I_MeanT, ILD_I_SDevT",-0.016297398135066032,117,40
