feature,importance
CLD_C_SDevT,0.026285386
BLM_B_MeanT,0.027154058
ISD_I_SDevT,0.03298078
ISM_I_MeanT,0.037540898
ILM_I_MeanT,0.03916668
CSM_C_MeanT,0.042011265
ILD_I_SDevT,0.0427307
CSD_C_SDevT,0.051098768
ALD_A_SDevT,0.05596525
ALM_A_MeanT,0.057937585
BLD_B_SDevT,0.061206907
BSM_B_MeanT,0.06368623
ASD_A_SDevT,0.08252197
ASM_A_MeanT,0.08371877
BSD_B_SDevT,0.1415041
CLM_C_MeanT,0.15449071
