sample_id,lambda
0,-0.5821065077249249
1,-0.6332705318260541
2,-0.5210167062032789
3,-0.34263364627862
4,-0.5900126215818149
5,-0.532634268177698
6,-0.39858466519232466
7,-0.6305586651555555
8,-0.6579597454377731
9,-0.5810743819823216
10,-0.5491018906765887
11,-0.5747929882904393
12,-0.43250932483465737
13,-0.6724981361351947
14,-0.35315795336424666
15,-0.5597747907625655
16,-0.6624877427813116
17,-0.5470377806508385
18,-0.6416089154445177
19,-0.526746971918257
20,-0.6004165336020687
21,-0.43800128628615465
22,-0.6033944359831437
23,-0.4143362584785328
24,-0.459137142947987
25,-0.684927828135764
26,-0.538675841272462
27,-0.747016020343453
28,-0.5608969882955318
29,-0.6056555041384167
30,-0.5805260223799298
31,-0.5987996735210747
32,-0.40369333749880426
33,-0.5797783630652372
34,-0.5827200691192208
35,-0.5617255390097112
36,-0.6077535517766643
37,-0.6146580064626526
38,-0.5825495483081975
39,-0.5199321029840029
40,-0.6047679567153798
41,-0.6381765415422893
42,-0.5518019886635394
43,-0.5969852858129678
44,-0.6521891178443274
45,-0.57223216940733
46,-0.37291691398788473
47,-0.6774846771502795
48,-0.5382829927244935
49,-0.6647947086421392
50,-0.5679329819506347
51,-0.5694429071566276
52,-0.5064833642789592
53,-0.5982206760955979
54,-0.569376083514192
55,-0.7492128233835655
56,-0.5865856343104009
57,-0.6082163520071467
58,-0.48362284289099633
59,-0.6244875382556512
60,-0.5897416274086467
61,-0.5194772633354491
62,-0.526452292638958
63,-0.6902512139114985
64,-0.3544631663411114
65,-0.5165718968977397
66,-0.631666172132571
67,-0.610929124418787
68,-0.7689080158684986
69,-0.5472921578921381
70,-0.6993207008268427
71,-0.5964910921574061
72,-0.6058067482489495
73,-0.5172372508680059
74,-0.419204964748933
75,-0.6304130158337925
76,-0.4875705834124626
77,-0.3710920233363158
78,-0.5689124792968775
79,-0.5176077090147698
80,-0.5282152662063881
81,-0.46105312566788775
82,-0.6003600559619507
83,-0.45562835747179403
84,-0.5952251586859428
85,-0.5395114081398684
86,-0.5990530890095577
87,-0.5179038795274998
88,-0.6005553401483125
89,-0.6426444164751164
90,-0.4630685967857862
91,-0.5713146047886929
92,-0.36355257139685765
93,-0.6514536668411839
94,-0.5609407950008621
95,-0.5973906493220263
96,-0.4400434303807632
97,-0.6141743519326045
98,-0.44997181235270245
99,-0.5161609534076548
100,-0.4265354036339821
101,-0.489991471500816
102,-0.6117306888346135
103,-0.49168255615348605
104,-0.4623399255327288
105,-0.6731463180188438
106,-0.34264867468573584
107,-0.5197213293079841
108,-0.4493536671703901
109,-0.6963020711774002
110,-0.3215873956210281
111,-0.5787365354738494
112,-0.6139485455789422
113,-0.5970042517634335
114,-0.6280912576359264
115,-0.6091573204601378
116,-0.38537617895421294
117,-0.6918162208091075
118,-0.5715582882451967
119,-0.3612786776420573
120,-0.6423286068412487
121,-0.6063593379704667
122,-0.6561481260452364
123,-0.37914283573418334
124,-0.35578945558920994
125,-0.49445477971804686
126,-0.546136703151904
127,-0.4919229651279636
128,-0.6775593094106629
129,-0.5688035283413009
130,-0.6170056333357787
131,-0.5327681452403011
132,-0.5941226868289314
133,-0.46529693667494276
134,-0.5734041065968297
135,-0.5245343798054095
136,-0.4287299222169582
137,-0.5513646683243809
138,-0.5420627982855225
139,-0.5713193907171215
140,-0.6511207399548556
141,-0.516690881218724
142,-0.5570906975184274
143,-0.4970625396702819
144,-0.5492969395026458
145,-0.4696193295390581
146,-0.7177218686302084
147,-0.6251853850365922
148,-0.5569288695740343
149,-0.5361993796414251
150,-0.43918240921642326
151,-0.7350892178435114
152,-0.5117351359857913
153,-0.5395655784625673
154,-0.6704746312058928
155,-0.647426424856875
156,-0.5688001471513989
157,-0.6036264934097654
158,-0.677461530532846
159,-0.7151084602728143
160,-0.67334774008332
161,-0.46118586901583997
162,-0.5091061228326818
163,-0.5727711490745743
164,-0.49379262830649473
165,-0.5985568000038677
166,-0.5665481599770653
167,-0.5950822725172772
168,-0.5104480067970418
169,-0.5518605857805037
170,-0.5796760918838745
171,-0.5813901177785156
172,-0.6291260365757715
173,-0.6633146856924095
174,-0.5569862659167584
175,-0.5687776225176034
176,-0.6075507296617546
177,-0.6228971754965463
178,-0.5244710373174458
179,-0.5010119263951066
180,-0.6624589040976083
181,-0.462279862084767
182,-0.5566003479529805
183,-0.5924170014433587
184,-0.5259304211329806
185,-0.759337378188939
186,-0.4637245131138192
187,-0.6854106145203372
188,-0.5929988978946703
189,-0.5891457663457432
190,-0.5147460360122276
191,-0.5825239253814949
192,-0.5198347757707239
193,-0.6220102281727637
194,-0.6363908066063255
195,-0.526813864737444
196,-0.6556204349277881
197,-0.5725311006306472
198,-0.6104671099841517
199,-0.6007168165258875
200,-0.6665380409329792
201,-0.4755914863795882
202,-0.6697868840466855
203,-0.5019362772928334
204,-0.6097232521348249
205,-0.5888226733305354
206,-0.5598718472843408
207,-0.47467679091155707
208,-0.5714253603363454
209,-0.6742385330000593
210,-0.4382889591565648
211,-0.5521446013585856
212,-0.754420785208782
213,-0.6715957192881362
214,-0.4829216310184218
215,-0.6024336340805244
216,-0.5290401028501494
217,-0.5378843564892163
218,-0.48853558861302554
219,-0.4195438309634694
220,-0.6197653831602838
221,-0.5605226900427982
222,-0.5313117565187492
223,-0.6171264898315718
224,-0.6935932871418186
225,-0.604806028942643
226,-0.5675427326103817
227,-0.5890640901124349
228,-0.6316736579834107
229,-0.6661147461325201
230,-0.5278593655003049
231,-0.5698196085075703
232,-0.5807472370126646
233,-0.5128824648229229
234,-0.35928287736428705
235,-0.5868226468551684
236,-0.5423400268634819
237,-0.6110921005855658
238,-0.5309920529789586
239,-0.520845769351409
240,-0.47900858607642904
241,-0.4560907977347971
242,-0.5700799166028889
243,-0.3926249874642591
244,-0.6019660019158165
245,-0.5227054311288011
246,-0.48261249338743356
247,-0.45488708403031675
248,-0.4971863677182941
249,-0.6283512755212369
250,-0.5322792816185973
251,-0.5297517428918143
252,-0.4892501462417649
253,-0.663739519083033
254,-0.493607520258012
255,-0.48335837638225604
256,-0.3931893056271969
257,-0.5745296333237346
258,-0.6519888788107512
259,-0.39217306402948304
260,-0.6336227723103713
261,-0.5345731599694562
262,-0.5634492048947656
263,-0.48303269550275735
264,-0.5402369312690052
265,-0.2835977540304376
266,-0.5730189965810796
267,-0.6194590535812194
268,-0.5757363746570426
269,-0.6060243519299384
270,-0.48155513650745563
271,-0.6003266100057013
272,-0.3470838416289911
273,-0.5858079475332265
274,-0.45726082971631776
275,-0.5236652513567389
276,-0.5633682351482884
277,-0.6715909461880909
278,-0.5618504108457693
279,-0.49289881040839667
280,-0.6266124453594895
281,-0.6539005716185745
282,-0.46594212423412257
283,-0.4626006662074389
284,-0.58618320536013
285,-0.39974017112637605
286,-0.5304524254726836
287,-0.5626402449751547
288,-0.4962593360082829
289,-0.6275032595364272
290,-0.5720399369527157
291,-0.5620835412867142
292,-0.5785858108528348
293,-0.5518006974727394
294,-0.5712008936367976
295,-0.5184017053187906
296,-0.5160968686939342
297,-0.5406703237092506
298,-0.6286537273405037
299,-0.45374905109009983
300,-0.6811675254851776
301,-0.5220336065972023
302,-0.6297127484938619
303,-0.5743313459734684
304,-0.5398584895855915
305,-0.5138596913122241
306,-0.4887212935876364
307,-0.4002445112245171
308,-0.6358729584186554
309,-0.6407850836022123
310,-0.5488638272259668
311,-0.6057339957231117
312,-0.5897226624182186
313,-0.606721108724478
314,-0.5180769500228892
315,-0.48068079159477295
316,-0.48184316041061853
317,-0.6010020293163525
318,-0.47159584767609647
319,-0.5264171385669841
320,-0.5217075575771871
321,-0.5533873875191296
322,-0.6440665812744457
323,-0.6687930451597226
324,-0.44372976278793236
325,-0.7321791324728824
326,-0.4962184868522393
327,-0.6870233158542987
328,-0.513863132255916
329,-0.48819893506969614
330,-0.4630526500945735
331,-0.6052078779623848
332,-0.46446648910850963
333,-0.5307217519008361
334,-0.5230843893662649
335,-0.5077184041634408
336,-0.5739181843057061
337,-0.6051723091357057
338,-0.586930809937706
339,-0.6551651745005136
340,-0.5346807823639897
341,-0.6180473428671438
342,-0.5274231721546722
343,-0.5840205508329315
344,-0.6440801813999726
345,-0.48775810427980626
346,-0.5238028047343457
347,-0.5608295224743739
348,-0.581377160932655
349,-0.5999149961489867
350,-0.6222855285872085
351,-0.5902654881516236
352,-0.599478728136293
353,-0.5926751258304171
354,-0.5880109827492886
355,-0.6340431358895553
356,-0.43623984037656405
357,-0.5181415891596804
358,-0.5705781558075035
359,-0.5207757769436596
360,-0.6323250205167633
361,-0.5155872304485619
362,-0.5469030107033198
363,-0.607569601608736
364,-0.5299480676678006
365,-0.5043411954648432
366,-0.5718045271374294
367,-0.48794731682382236
368,-0.4372675039033814
369,-0.5482301768437718
370,-0.6516593295905352
371,-0.5757549105712363
372,-0.5619499606994006
373,-0.4505853130301459
374,-0.5851585453749769
375,-0.5574417980000148
376,-0.45777126716905925
377,-0.3994947392913998
378,-0.6519578203778836
379,-0.6972798864990796
380,-0.5151405697269098
381,-0.5797125097851383
382,-0.5153353670459818
383,-0.5288752485382608
384,-0.5245538256234512
385,-0.570271339747217
386,-0.5731847826360665
387,-0.5385106627827133
388,-0.5016351400277672
389,-0.5296922527935627
390,-0.5568721440938553
391,-0.6948721220914599
392,-0.6042325257920289
393,-0.5604036400104219
394,-0.49429625506000097
395,-0.42183116029637524
396,-0.61620196092953
397,-0.5955433583191759
398,-0.5356799003255633
399,-0.4564825553138154
400,-0.485768411255734
401,-0.5037134358663947
402,-0.4967358990701709
403,-0.5905084324473809
404,-0.5498362193398934
405,-0.5481525551031514
406,-0.5564822908763134
407,-0.6261083071029415
408,-0.4316614477753055
409,-0.4970839823368954
410,-0.6509014410734262
411,-0.5301458105103747
412,-0.46961901740288325
413,-0.5119231458925285
414,-0.6004834152652999
415,-0.5703599053086091
416,-0.4725948353151334
417,-0.6213855471111147
418,-0.5237635323639762
419,-0.611568720561007
420,-0.6353524395088491
421,-0.6062979516757004
422,-0.2474280103067861
423,-0.704466014042857
424,-0.4982821732718523
425,-0.60434113809138
426,-0.45135977069610433
427,-0.4958792689194801
428,-0.6230836068400276
429,-0.5360686003034465
430,-0.48537452656936714
431,-0.5964052875950502
432,-0.3336384819426367
433,-0.5274813415576092
434,-0.4836726920855502
435,-0.567101003796676
436,-0.5758821073158664
437,-0.5170355791939848
438,-0.500039539621063
439,-0.6149925398738363
440,-0.5066872299691578
441,-0.47704421788580825
442,-0.6035321381185089
443,-0.5257848575627003
444,-0.5477305373164015
445,-0.5501474291036197
446,-0.4966126201914743
447,-0.7286433327938979
448,-0.59572269916913
449,-0.5175577484861014
450,-0.5941314212109517
451,-0.5026253574896439
452,-0.5920583942528772
453,-0.5750471523343751
454,-0.5368673028447113
455,-0.5155361871241657
456,-0.4891061727816869
457,-0.6774774878505293
458,-0.5918022886743455
459,-0.5947382283149704
460,-0.3452679304900228
461,-0.6845190850847509
462,-0.4419389307487202
463,-0.6110449613775691
464,-0.6733579568021536
465,-0.577596002340458
466,-0.655471557299514
467,-0.6335034321215026
468,-0.6569602199799005
469,-0.6451357366357907
470,-0.5730528675203166
471,-0.49318993592089067
472,-0.6435737633313013
473,-0.4390969384376195
474,-0.5780361866437412
475,-0.5076515018820867
476,-0.5603308975256194
477,-0.5088353782061886
478,-0.4116516606446657
479,-0.4692425692812681
480,-0.534869185635749
481,-0.5172087570456314
482,-0.6464037005693094
483,-0.5752824012021207
484,-0.6651285876928278
485,-0.5778865417572754
486,-0.41819259607698206
487,-0.5179940210186131
488,-0.5628639318044324
489,-0.7224076423455909
490,-0.612955640157811
491,-0.3981469665453552
492,-0.6533176248581652
493,-0.6317210621283609
494,-0.4878592091426481
495,-0.6087063047175426
496,-0.5640282775341249
497,-0.4651009752173074
498,-0.49187509695797504
499,-0.7258565486006727
