model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
forward_collaborative_actual,0.46469646457408387,0.04765259417053459,0.39450962475937046,0.04083143733718594,0.47961851459566135,0.1270994722001231
forward_collaborative_deploy,0.5154857697897758,0.03935707326994548,0.4667131443828515,0.03616554134447576,0.3601488418252693,0.14217175299467397
forward_independent,0.5032294335869358,0.039494636991710304,0.4555793551888202,0.03574844905558988,0.39252509632691085,0.12437654338244304
forward_master,0.38155865650031806,0.059534061952668506,0.26064052606685545,0.0417208621939966,-0.054454452307203596,0.4023938263070653
reverse_collaborative_actual,0.3755775533485673,0.05705685356253936,0.25504080650908123,0.042501211739607324,-0.03290563035800953,0.45556780681243103
reverse_collaborative_deploy,0.3934533077310668,0.06140876343662279,0.26299155650966555,0.0441913365937026,-0.12639177637666082,0.4584747240945517
reverse_independent,0.3814905688590921,0.059561960152954306,0.2605352098647387,0.041717453570427235,-0.05373449060644989,0.40059050670159957
reverse_master,0.5032875325259015,0.039539486806220436,0.4555756156068862,0.03577340809395504,0.39236612093674333,0.12453974462912117
