fold_id,model,rmse,mae,r2
1,forward_master,0.4047173584499046,0.26640726104194923,-0.02213045949138004
1,forward_independent,0.5327079501724332,0.49384706025050346,0.34758270925833523
1,forward_collaborative_actual,0.4679406337310127,0.4178794341521417,0.4965821347717342
1,forward_collaborative_deploy,0.5333911959951424,0.49544018317414557,0.3459080683863912
2,forward_master,0.45954615126187126,0.3125014320527556,0.12523042586571387
2,forward_independent,0.4482638676766189,0.4118906254273545,0.4809037210836299
2,forward_collaborative_actual,0.36224826938798255,0.30405068149209835,0.66100516092398
2,forward_collaborative_deploy,0.47439257364489634,0.4361291546918346,0.4186251890156433
3,forward_master,0.30114020786534174,0.2077768360057687,0.1930676553125258
3,forward_independent,0.5420650831197683,0.5044928837275565,0.4306955509708199
3,forward_collaborative_actual,0.5394655526114932,0.45697106418847583,0.436142777744554
3,forward_collaborative_deploy,0.5476940274962124,0.49741374055170706,0.41881055122464506
4,forward_master,0.31038052981746256,0.21762064868918785,0.22850861307110193
4,forward_independent,0.4613176371831486,0.40898555437342204,0.5592365994750655
4,forward_collaborative_actual,0.4254321676901326,0.3665890116293678,0.6251426278823069
4,forward_collaborative_deploy,0.44788150051709813,0.39529558001962917,0.584537666371261
5,forward_master,0.41008864041254695,0.27900773909115795,-0.21084338956696103
5,forward_independent,0.49138930112250606,0.4203438466600643,0.322999686193463
5,forward_collaborative_actual,0.48990925982554956,0.39601563207239504,0.3270717302911651
5,forward_collaborative_deploy,0.5223076922726039,0.45798582985923975,0.23512525586785127
6,forward_master,0.5705213539499965,0.4018912492039459,0.06904665084603379
6,forward_independent,0.47980920992797466,0.45833104484638443,0.09328516519520191
6,forward_collaborative_actual,0.3788909872953889,0.32928647844365005,0.43459178924679787
6,forward_collaborative_deploy,0.49486510005473333,0.47057158051759773,0.03548893430595801
7,forward_master,0.24369752684664261,0.17439644025579779,0.32056745604625647
7,forward_independent,0.5728161628388057,0.48939072232250874,0.3591021534361637
7,forward_collaborative_actual,0.5864956523488817,0.47519519141141175,0.32812593218414887
7,forward_collaborative_deploy,0.5875809448569109,0.49645973807834387,0.3256370661476802
8,forward_master,0.37271353291606923,0.2558403947847046,0.21471954181384967
8,forward_independent,0.44065263207800365,0.4084206348243684,0.5759047108792301
8,forward_collaborative_actual,0.39435822217936484,0.33852683863881383,0.6603336602003389
8,forward_collaborative_deploy,0.44114863538035876,0.4118194044602091,0.5749494411896989
9,forward_master,0.33895661142495576,0.25070478515498024,-2.680360421198985
9,forward_independent,0.5149574707157443,0.4977126765038507,0.44600189135486024
9,forward_collaborative_actual,0.4736391071992771,0.44754201961850787,0.5313370049616181
9,forward_collaborative_deploy,0.518002173196133,0.4992661072822967,0.4394314616740961
10,forward_master,0.39563658747365166,0.24889399252977046,-0.21444377942255866
10,forward_independent,0.5348577127090116,0.4701484141521363,0.294615080657852
10,forward_collaborative_actual,0.48879553997167374,0.39963784933890756,0.41087952902306846
10,forward_collaborative_deploy,0.563846247955104,0.5067804167298768,0.21608128164453788
11,forward_master,0.4182361431804927,0.27956660052581955,-1.001184929469718
11,forward_independent,0.5240517532894917,0.476751259204961,0.523610720648223
11,forward_collaborative_actual,0.45095727538556796,0.3923534277585259,0.6472358698222542
11,forward_collaborative_deploy,0.5222929499433078,0.4809701042756718,0.526803035264217
12,forward_master,0.32678645860808797,0.23555220425204507,0.04977219131517929
12,forward_independent,0.48836247810762745,0.42875173336121647,0.466984903412769
12,forward_collaborative_actual,0.4667151696453297,0.39091923931291167,0.51319081245683
12,forward_collaborative_deploy,0.4769426342336644,0.43078611538198813,0.49162144285556564
13,forward_master,0.35978050597349426,0.24305357658492002,0.1922482208319456
13,forward_independent,0.5176003415693358,0.4664778588303108,0.38406311205124877
13,forward_collaborative_actual,0.5069343445880719,0.4293360226638913,0.4091863278379345
13,forward_collaborative_deploy,0.5474646563976256,0.49404647268717705,0.31093644604212434
14,forward_master,0.38881198551728974,0.2564537243714483,-0.11753034183617794
14,forward_independent,0.51027599880009,0.46786708741502164,0.3380245694488794
14,forward_collaborative_actual,0.48767878556673216,0.4162304119320627,0.3953566016559239
14,forward_collaborative_deploy,0.5419181004147878,0.4898773693635329,0.2533812336443326
15,forward_master,0.47827748243038,0.3269644349805484,-0.08928261999972609
15,forward_independent,0.45890200579543,0.4067505655558004,0.2954202757220745
15,forward_collaborative_actual,0.4051317615488018,0.3264256757482253,0.4508603353380236
15,forward_collaborative_deploy,0.47593465919249645,0.42079871863640933,0.24214713814643152
16,forward_master,0.3542366788654134,0.24398059677941514,-0.11657188233433091
16,forward_independent,0.5247801709927852,0.4969498911423372,0.4296253168525962
16,forward_collaborative_actual,0.4817283986591241,0.43364387018658435,0.5193710725823896
16,forward_collaborative_deploy,0.5394628020949283,0.5114672919181134,0.39726221904053594
17,forward_master,0.4073912291311416,0.25624655404387187,0.12365452393606535
17,forward_independent,0.5791399132341855,0.5121760801104942,0.1335421489893419
17,forward_collaborative_actual,0.5609608553490658,0.4687721360911102,0.18708420681228166
17,forward_collaborative_deploy,0.5823642879475796,0.5147201849175762,0.12386724331854737
18,forward_master,0.27843275974154297,0.1934209605755596,0.11307935201074504
18,forward_independent,0.4695901649674884,0.40843384357820733,0.5727523366212511
18,forward_collaborative_actual,0.45994071902718764,0.383808675570799,0.5901306615252102
18,forward_collaborative_deploy,0.4899413552679691,0.4249536721189045,0.5349175950214847
19,forward_master,0.384839579717677,0.2596277333571511,0.16279092038409126
19,forward_independent,0.4598338909250382,0.4140412981557436,0.49452545731151065
19,forward_collaborative_actual,0.39791120747357417,0.35164688762603524,0.621496693530379
19,forward_collaborative_deploy,0.45427275450775395,0.4055396778062061,0.5066777368059014
20,forward_master,0.444728503969218,0.3170287575638585,0.11440249742075193
20,forward_independent,0.43426320378767697,0.40977102799235837,0.5285386745901564
20,forward_collaborative_actual,0.3780140806382293,0.3134688894532477,0.6427633870980858
20,forward_collaborative_deploy,0.46494591222364234,0.4316068475675106,0.45956324676631277
21,forward_master,0.28657414337454346,0.2092042638260635,-1.6307291601490022
21,forward_independent,0.5192556209319739,0.49731825401042623,0.38011729599392063
21,forward_collaborative_actual,0.5436319038433443,0.5002984542139212,0.32055082141588076
21,forward_collaborative_deploy,0.5334750704588961,0.5093662226250352,0.3457023434931096
22,forward_master,0.39391069992743905,0.27465648685988964,0.1124155977610165
22,forward_independent,0.5040813863043384,0.4575493592772838,0.2644933123440302
22,forward_collaborative_actual,0.47274199115536686,0.3950408368001253,0.3531051940250577
22,forward_collaborative_deploy,0.5299078487687019,0.4766308271083248,0.18719567051990005
23,forward_master,0.4946314877852115,0.33579180785203583,0.036399357914032704
23,forward_independent,0.47303522298337763,0.42488027711921894,0.41566415321250183
23,forward_collaborative_actual,0.45024214365689114,0.3632125706735375,0.4706196021856327
23,forward_collaborative_deploy,0.4928215769527074,0.441280504866295,0.3657580012270185
24,forward_master,0.4455489053416881,0.2880633581573813,0.10013307643311009
24,forward_independent,0.47879168038261566,0.4075098894703639,0.3364426031666625
24,forward_collaborative_actual,0.4010728240803707,0.31153400213721916,0.5343798397066637
24,forward_collaborative_deploy,0.4875588602627844,0.4160829208339246,0.31191924646344504
25,forward_master,0.3291357662737397,0.22873177033984965,-0.6249552896090269
25,forward_independent,0.5221693563018769,0.4740894389760076,0.5882638372573075
25,forward_collaborative_actual,0.4586166255243835,0.4076895451139748,0.6823887780425583
25,forward_collaborative_deploy,0.5351238715463431,0.4876657783338493,0.567580868944845
26,forward_master,0.3550278387038917,0.2519241354117477,0.17034917554232165
26,forward_independent,0.5084825203263998,0.45043216849542705,0.15486105778277037
26,forward_collaborative_actual,0.48366617325290046,0.39775897240729274,0.23534155976091997
26,forward_collaborative_deploy,0.5325550947676315,0.4742878418951125,0.07294575941018566
27,forward_master,0.370296286631723,0.24607896076969227,-0.06267488417263412
27,forward_independent,0.49219949839427796,0.44723584801552607,0.4894469457960191
27,forward_collaborative_actual,0.4887776863392044,0.4015004679958817,0.4965210850367445
27,forward_collaborative_deploy,0.4836225246191422,0.42700432930585847,0.5070855104987894
28,forward_master,0.4258579618725502,0.30993228481363894,0.09228042423790128
28,forward_independent,0.5137691616296084,0.45510634939656347,0.42349009060143494
