method,lambda1,lambda2,lambda3,rmse_dflow,mae_dflow,r2_dflow,rmse_dgap,mae_dgap,r2_dgap,joint_rmse_mean,joint_mae_mean,joint_r2_mean,collaboration_rmse,accuracy_dflow,accuracy_dgap,joint_pair_accuracy
full_joint_recommendation,1.0,4.0,0.25,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.14184455225063686,0.02032520325203252,0.9200426337066179,0.9766916024013927,0.983739837398374,0.975609756097561,0.959349593495935
full_joint_recommendation,2.0,4.0,0.25,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.14184455225063686,0.02032520325203252,0.9200426337066179,0.9766916024013927,0.983739837398374,0.975609756097561,0.959349593495935
full_joint_recommendation,4.0,4.0,0.25,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.15617376188860607,0.024390243902439025,0.8939612087702311,0.9789308160083499,0.975609756097561,0.975609756097561,0.9512195121951219
full_joint_recommendation,1.0,2.0,0.25,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.1645674011245228,0.02845528455284553,0.9015129560928787,0.9430469558439166,0.983739837398374,0.959349593495935,0.943089430894309
full_joint_recommendation,2.0,2.0,0.25,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.1645674011245228,0.02845528455284553,0.9015129560928787,0.9430469558439166,0.983739837398374,0.959349593495935,0.943089430894309
full_joint_recommendation,2.0,4.0,0.5,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.1645674011245228,0.02845528455284553,0.9015129560928787,0.9430469558439166,0.983739837398374,0.959349593495935,0.943089430894309
full_joint_recommendation,4.0,4.0,0.5,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.1645674011245228,0.02845528455284553,0.9015129560928787,0.9430469558439166,0.983739837398374,0.959349593495935,0.943089430894309
full_joint_recommendation,4.0,2.0,0.25,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.17889661076249203,0.03252032520325203,0.875431531156492,0.9453658642323888,0.975609756097561,0.959349593495935,0.9349593495934959
full_joint_recommendation,0.5,4.0,0.25,0.2208630521496931,0.04878048780487805,0.6870229007633588,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.18851840701914957,0.03658536585365854,0.8157169339610708,0.9619012966459539,0.9512195121951219,0.975609756097561,0.926829268292683
full_joint_recommendation,0.5,2.0,0.25,0.2208630521496931,0.04878048780487805,0.6870229007633588,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.21124125589303552,0.044715447154471545,0.7971872563473317,0.9277204208242078,0.9512195121951219,0.959349593495935,0.9105691056910569
