component,feature,coefficient,synergy_weight,effective_coefficient
intercept,Intercept,0.049960780277057,,
beta,DFlow,-0.5026429312144147,,
center,CSM_C_MeanT,0.336378275480282,0.17342662468222342,0.05833694893297242
center,CLM_C_MeanT,0.2303235611819606,0.32819447632959753,0.07559092054848157
center,BLD_B_SDevT,-0.1042042436390007,0.24561857478003632,-0.025594497808643018
center,CSD_C_SDevT,0.0575675754221848,0.17554948609588833,0.010105958281150833
center,C,0.0431247234886164,0.07721083811225438,0.0033296960439152946
