split,target,rmse,mae,r2,joint_rmse_mean,joint_mae_mean,joint_r2_mean
train,DFlow,0.13832684697269934,0.06978482753038406,0.877233624458313,0.18324955974958912,0.12634309008717537,0.8792875707149506
train,DGap,0.22817227252647893,0.18290135264396667,0.8813415169715881,0.18324955974958912,0.12634309008717537,0.8792875707149506
test,DFlow,0.28558828990261187,0.1609383225440979,0.49104011058807373,0.3395226014953565,0.24699586629867554,0.5675645470619202
test,DGap,0.3934569130881012,0.3330534100532532,0.6440889835357666,0.3395226014953565,0.24699586629867554,0.5675645470619202
