param_id,joint_rmse_mean,joint_rmse_std,joint_r2_mean,DFlow_rmse_mean,DGap_rmse_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,gamma
3,0.34761211696686256,0.0460108989051778,0.5399931609630585,0.2635906635593467,0.4316335703743784,100,3,0.05,0.8,0.8,3.0,0.1
4,0.3510292607035602,0.04395315194231855,0.5282271981239319,0.268852583972426,0.4332059374346944,120,3,0.03,0.9,0.9,3.0,0.0
5,0.3513423755777689,0.04110356077115212,0.5344781279563904,0.26572526708319705,0.43695948407234075,150,4,0.03,0.8,0.8,5.0,0.1
2,0.3522451872045931,0.03813810319864433,0.5276540756225586,0.27137149761956003,0.433118876789626,80,2,0.05,0.9,0.8,1.0,0.1
1,0.354400086799193,0.028692225526790665,0.5275322258472442,0.2720160744101182,0.43678409918826777,60,2,0.05,0.8,0.8,1.0,0.0
6,0.3545071970422075,0.037512440443892923,0.51693976521492,0.27965983636261305,0.429354557721802,100,4,0.08,0.9,0.9,1.0,0.2
